number,greed cost,sa cost
1,9440.0,8863.0
2,8126.0,7942.0
3,10126.0,9382.0
4,12126.0,10714.0
5,9375.0,8838.0
6,8061.0,7781.0
7,10061.0,9784.0
8,12061.0,11088.0
9,9040.0,8477.0
10,7726.0,7648.0
11,9726.0,8932.0
12,11726.0,10132.0
13,12032.0,8418.0
14,9180.0,7396.0
15,13180.0,9906.0
16,17180.0,11292.0
17,12032.0,8464.0
18,9180.0,7125.0
19,13180.0,8914.0
20,17180.0,11136.0
21,12032.0,8144.0
22,9180.0,7266.0
23,13180.0,8806.0
24,17180.0,11665.0
25,19197.0,12612.0
26,16131.0,11325.0
27,21531.0,13506.0
28,26931.0,15022.0
29,19305.0,13400.0
30,16239.0,11411.0
31,21639.0,14181.0
32,27039.0,16508.0
33,19055.0,12796.0
34,15989.0,11004.0
35,21389.0,13485.0
36,26789.0,15685.0
37,19055.0,12200.0
38,15989.0,11282.0
39,21389.0,12984.0
40,26789.0,14984.0
41,7226.0,6908.0
42,9957.0,6544.0
43,12448.0,6510.0
44,7585.0,7128.0
45,9848.0,6815.0
46,12639.0,6372.0
48,9044.0,6333.0
49,12420.0,5394.0
50,10062.0,9256.0
51,11351.0,7969.0
52,10364.0,9452.0
53,12470.0,9030.0
54,10351.0,9052.0
55,11970.0,8227.0
56,23882.0,22975.0
57,32882.0,29482.0
58,53882.0,44011.0
59,39121.0,33420.0
60,23882.0,22669.0
61,32882.0,29167.0
62,53882.0,42657.0
63,39121.0,32332.0
64,23882.0,22886.0
65,32882.0,29203.0
66,53882.0,44138.0
68,23882.0,22561.0
69,32882.0,29567.0
70,53882.0,43869.0
71,39121.0,33154.0
